date,light_max_lux
2024-08-14,109700
2024-08-15,84218
2024-08-16,111009
2024-08-17,117899
2024-08-18,118739
2024-08-19,62129
2024-08-20,134969
2024-08-21,103709
2024-08-22,102299
2024-08-23,104002
2024-08-24,104850
2024-08-25,109799
2024-08-26,99839
2024-08-27,100769
2024-08-28,101629
2024-08-30,101290
2024-08-31,102699
2024-09-01,111768
2024-09-02,91379
2024-09-03,98858
2024-09-04,99748
2024-09-05,113868
2024-09-06,110689
2024-09-07,99219
2024-09-08,10809
2024-09-09,109729
2024-09-10,98558
2024-09-11,102658
2024-09-12,76208
2024-09-13,108429
2024-09-14,114178
2024-09-15,101389
2024-09-16,92638
2024-09-17,105009
2024-09-18,82928
2024-09-19,81739
2024-09-20,96259
2024-09-21,87328
2024-09-22,92289
2024-09-23,94989
2024-09-24,91228
2024-09-25,96069
2024-09-26,38768
2024-09-27,91319
2024-09-28,103379
2024-09-29,87969
2024-09-30,97199
2024-10-01,27938
2024-10-02,89499
2024-10-03,17949
2024-10-04,102179
2024-10-05,93269
2024-10-06,72018
2024-10-07,11459
2024-10-08,31329
2024-10-09,79628
2024-10-10,93719
2024-10-11,85899
2024-10-12,74169
2024-10-13,34958
2024-10-14,74599
2024-10-15,56359
2024-10-16,15728
2024-10-17,23659
2024-10-18,81899
2024-10-19,20379
2024-10-20,82509
2024-10-21,61379
2024-10-22,74529
2024-10-23,25459
2024-10-24,82869
2024-10-25,19349
2024-10-26,62159
2024-10-27,64629
2024-10-28,52639
2024-10-29,53678
2024-10-30,52919
2024-10-31,53329
2024-11-01,52178
2024-11-02,52589
2024-11-03,46968
2024-11-04,49488
2024-11-05,54669
2024-11-06,
2024-11-07,
2024-11-08,
2024-11-09,
2024-11-10,
2024-11-11,
2024-11-12,
2024-11-13,
2024-11-14,
2024-11-15,
2024-11-16,42799
2024-11-17,15879
2024-11-18,43039
2024-11-19,35379
2024-11-20,23379
2024-11-21,31348
2024-11-22,41279
2024-11-23,37579
2024-11-24,16809
2024-11-25,26579
2024-11-26,39439
2024-11-27,43768
2024-11-28,30189
2024-11-29,36409
2024-11-30,34158
2024-12-01,35399
2024-12-02,33439
2024-12-03,12618
2024-12-04,20238
2024-12-05,32858
2024-12-06,18269
2024-12-07,29599
2024-12-08,28989
2024-12-09,21148
2024-12-10,16009
2024-12-11,26709
2024-12-12,31399
2024-12-13,19959
2024-12-14,22789
2024-12-15,31858
2024-12-16,31109
2024-12-17,23329
2024-12-18,17738
2024-12-19,14769
2024-12-20,23289
2024-12-21,30698
2024-12-22,5169
2024-12-23,30548
2024-12-24,30869
2024-12-25,30929
2024-12-26,31158
2024-12-27,31619
2024-12-28,30958
2024-12-29,30969
2024-12-30,31948
2024-12-31,29739
2025-01-01,21379
2025-01-02,36339
2025-01-03,37429
2025-01-04,33729
2025-01-05,17838
2025-01-06,26889
2025-01-07,35239
2025-01-08,12218
2025-01-09,25059
2025-01-10,35768
2025-01-11,22138
2025-01-12,36119
2025-01-13,36299
2025-01-14,36568
2025-01-15,47729
2025-01-16,38749
2025-01-17,38299
2025-01-18,20638
2025-01-19,43629
2025-01-20,28109
2025-01-21,36979
2025-01-22,19238
2025-01-23,26359
2025-01-24,41909
2025-01-25,43078
2025-01-26,36199
2025-01-27,18649
2025-01-28,71069
2025-01-29,67139
2025-01-30,46949
2025-01-31,4318
